Pre-Layout,,,,,,Post-Layout,,,,
TT,SS,SF,FS,FF,,TT,SS,SF,FS,FF
129,129,129,129,129,,130,130,130,130,130
130,130,130,130,130,,131,131,131,131,131
131,131,131,131,131,,133,133,133,133,133
133,133,133,133,133,,134,134,134,134,134
134,134,134,134,134,,136,136,136,136,136
136,136,136,136,135,,137,137,137,137,137
137,137,137,137,137,,139,139,139,139,139
139,139,139,139,139,,140,140,140,140,140
140,140,140,140,140,,142,142,142,142,142
142,142,142,142,142,,143,143,143,143,143
143,143,143,143,143,,145,145,145,145,145
145,145,145,145,145,,146,146,146,146,146
146,146,146,146,146,,148,148,148,148,148
147,147,147,147,147,,149,149,149,149,149
149,149,149,149,149,,151,151,151,151,151
151,151,151,151,151,,152,152,152,152,152
151,151,151,151,151,,154,154,154,154,154
153,153,153,153,153,,155,155,155,155,155
155,155,155,155,155,,157,157,157,157,157
156,156,156,156,156,,158,158,158,158,158
158,158,158,158,158,,159,159,159,159,159
159,159,159,159,159,,161,161,161,161,161
161,161,161,161,161,,162,162,162,162,162
162,162,162,162,162,,164,164,164,164,164
163,163,163,163,163,,165,165,165,165,165
165,165,165,165,165,,167,167,167,167,167
166,166,166,166,166,,168,168,168,168,168
167,167,167,167,167,,169,169,169,169,169
169,169,169,169,169,,171,171,171,171,171
170,170,170,170,170,,172,172,172,172,172
171,171,171,171,171,,174,173,174,174,173
173,173,173,173,173,,175,175,175,175,175
175,175,175,175,175,,177,177,177,177,177
175,175,175,175,175,,178,178,178,178,178
177,177,177,177,177,,179,179,179,179,179
179,179,179,179,179,,181,181,181,181,181
180,180,180,180,180,,182,182,182,182,182
181,181,181,181,181,,183,183,183,183,183
183,183,183,183,183,,185,185,185,185,185
183,183,183,183,183,,186,186,186,186,186
185,185,185,185,185,,187,187,187,187,187
186,186,186,186,186,,189,189,189,189,189
187,187,187,187,187,,190,190,190,190,190
189,189,189,189,189,,191,191,191,191,191
190,190,190,190,190,,191,191,191,191,191
191,191,191,191,191,,194,194,194,194,194
193,191,191,193,193,,195,195,195,195,195
194,194,194,194,194,,196,196,196,196,196
195,195,195,195,195,,197,197,197,197,197
196,197,197,196,196,,199,199,199,199,199
197,197,198,197,197,,200,200,200,200,200
199,199,199,199,199,,201,201,201,201,201
200,200,200,200,200,,202,202,202,202,202
201,201,201,201,201,,203,203,203,203,203
202,202,202,202,202,,205,205,205,205,205
203,203,203,203,203,,206,206,206,206,206
205,205,205,205,205,,207,207,207,207,207
206,206,206,206,206,,208,208,208,208,208
207,207,207,207,207,,209,209,209,209,209
208,208,208,208,208,,210,210,210,210,210
209,209,209,209,209,,211,211,211,211,211
210,210,210,210,210,,213,213,213,213,213
211,211,211,211,211,,213,213,213,213,213
212,212,212,212,212,,215,215,215,215,215
213,213,213,213,213,,215,215,215,215,215
214,214,214,214,214,,217,217,217,217,217
215,215,215,215,215,,218,218,218,218,218
216,216,216,216,216,,219,219,219,219,219
217,217,217,217,217,,220,220,220,220,220
218,218,218,218,218,,221,221,221,221,221
219,219,219,219,219,,222,222,222,222,222
220,220,220,220,220,,223,223,223,223,223
221,221,221,221,221,,223,223,223,223,223
222,222,222,222,222,,225,225,225,225,225
223,223,223,223,223,,226,226,226,226,226
223,223,223,223,223,,226,226,226,226,226
225,225,225,225,225,,227,227,227,227,227
226,226,226,226,226,,228,228,228,228,228
226,226,227,226,226,,229,229,229,229,229
227,227,227,227,227,,230,230,230,230,230
228,228,228,228,228,,231,231,231,231,231
229,229,229,229,229,,231,231,231,231,231
230,230,230,230,230,,232,232,232,232,232
230,230,231,230,230,,233,233,233,233,233
231,231,231,231,231,,234,234,234,234,234
232,232,232,232,232,,235,235,235,235,235
233,233,233,233,233,,235,235,235,235,235
233,233,234,233,233,,236,236,236,236,236
234,234,234,234,234,,237,237,237,237,237
235,235,235,235,235,,237,237,237,237,237
235,235,235,235,235,,238,238,238,238,238
236,236,236,236,236,,239,239,239,239,239
237,237,237,237,237,,239,239,239,239,239
237,237,237,237,237,,240,240,240,240,240
238,238,238,238,238,,241,241,241,241,241
238,238,239,238,238,,241,241,241,241,241
239,239,239,239,239,,242,242,242,242,242
239,239,240,239,239,,242,242,243,242,242
240,240,240,240,240,,243,243,243,243,243
241,241,241,241,241,,243,243,244,243,243
241,241,241,241,241,,244,244,244,244,244
242,242,242,242,242,,244,244,245,244,244
242,242,242,242,242,,245,245,245,245,245
242,242,243,242,242,,245,245,246,245,245
243,243,243,243,243,,246,246,246,246,246
243,243,244,243,243,,246,246,246,246,246
244,244,244,244,244,,246,246,247,246,246
244,244,245,244,244,,247,247,247,247,247
244,244,245,244,244,,247,247,247,247,247
245,245,245,245,245,,247,247,248,247,247
245,245,246,245,245,,248,248,248,248,248
245,245,246,245,245,,248,248,249,248,248
246,246,246,246,246,,248,249,249,248,249
246,246,246,246,246,,249,249,249,249,249
246,246,247,246,246,,249,249,250,249,249
246,246,247,246,246,,249,249,250,249,249
247,247,247,247,247,,249,249,250,249,249
247,247,247,247,247,,250,250,250,250,250
247,247,247,247,247,,250,250,250,250,250
247,247,248,247,247,,250,250,251,250,250
247,247,248,247,247,,250,250,251,250,250
247,247,248,247,247,,250,250,251,250,250
247,247,248,247,247,,250,250,251,250,250
248,248,248,247,248,,250,250,251,250,250
248,248,248,248,248,,250,250,251,250,250
248,248,248,248,248,,250,250,251,250,250
248,248,248,248,248,,250,250,251,250,250
248,248,248,248,248,,250,251,251,250,251
248,248,248,248,248,,250,251,251,250,251
248,248,248,248,248,,250,250,251,250,250
248,248,248,248,248,,250,250,251,250,250
248,248,248,248,248,,250,250,251,250,250
248,248,248,247,248,,250,250,251,250,250
247,247,248,247,247,,250,250,251,250,250
247,247,248,247,247,,250,250,251,250,250
247,247,248,247,247,,250,250,251,250,250
247,247,248,247,247,,250,250,250,250,250
247,247,247,247,247,,250,250,250,250,250
247,247,247,247,247,,250,250,250,249,250
246,246,247,246,246,,249,249,250,249,249
246,246,247,246,246,,249,249,250,249,249
246,246,247,246,246,,249,249,249,249,249
246,246,246,246,246,,249,249,249,249,249
245,245,246,245,245,,248,248,249,248,248
245,245,246,245,245,,248,248,248,248,248
245,245,245,245,245,,248,248,248,248,248
245,245,245,245,245,,247,247,248,247,247
244,244,245,244,244,,247,247,247,247,247
244,244,244,244,244,,247,247,247,246,247
244,244,244,244,244,,246,246,247,246,246
243,243,244,243,243,,246,246,246,246,246
243,243,243,243,243,,245,245,246,245,245
242,242,242,242,242,,245,245,245,245,245
242,242,242,242,242,,244,244,245,244,244
241,241,242,241,241,,244,244,244,244,244
241,241,241,241,241,,244,244,244,244,244
