Vin_tt,codes_tt,,Vin_ss,codes_ss,,Vin_ff,codes_ff,,Vin_sf,codes_sf,,Vin_fs,codes_fs,,Vin_tt_pre,codes_tt_pre,,Vin_ss_pre,codes_ss_pre,,Vin_ff_pre,codes_ff_pre,,Vin_sf_pre,codes_sf_pre,,Vin_fs_pre,codes_fs_pre
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0.001764706,0,,0.001764706,0,,0.001764706,0,,0.001764706,0,,0.001764706,0,,0.001764706,0,,0.001764706,0,,0.001764706,0,,0.001764706,0,,0.001764706,0
0.003529412,0,,0.003529412,0,,0.003529412,0,,0.003529412,0,,0.003529412,0,,0.003529412,0,,0.003529412,0,,0.003529412,0,,0.003529412,0,,0.003529412,0
0.005294118,0,,0.005294118,0,,0.005294118,0,,0.005294118,0,,0.005294118,0,,0.005294118,0,,0.005294118,0,,0.005294118,0,,0.005294118,0,,0.005294118,0
0.007058824,0,,0.007058824,0,,0.007058824,0,,0.007058824,1,,0.007058824,0,,0.007058824,0,,0.007058824,0,,0.007058824,0,,0.007058824,1,,0.007058824,0
0.008823529,1,,0.008823529,1,,0.008823529,1,,0.008823529,1,,0.008823529,0,,0.008823529,1,,0.008823529,1,,0.008823529,1,,0.008823529,1,,0.008823529,0
0.010588235,1,,0.010588235,1,,0.010588235,1,,0.010588235,1,,0.010588235,1,,0.010588235,1,,0.010588235,1,,0.010588235,1,,0.010588235,1,,0.010588235,1
0.012352941,1,,0.012352941,1,,0.012352941,1,,0.012352941,1,,0.012352941,1,,0.012352941,1,,0.012352941,1,,0.012352941,1,,0.012352941,1,,0.012352941,1
0.014117647,1,,0.014117647,1,,0.014117647,2,,0.014117647,2,,0.014117647,1,,0.014117647,1,,0.014117647,1,,0.014117647,1,,0.014117647,2,,0.014117647,1
0.015882353,2,,0.015882353,2,,0.015882353,2,,0.015882353,2,,0.015882353,1,,0.015882353,2,,0.015882353,2,,0.015882353,2,,0.015882353,2,,0.015882353,1
0.017647059,2,,0.017647059,2,,0.017647059,2,,0.017647059,2,,0.017647059,2,,0.017647059,2,,0.017647059,2,,0.017647059,2,,0.017647059,2,,0.017647059,2
0.019411765,2,,0.019411765,2,,0.019411765,2,,0.019411765,2,,0.019411765,2,,0.019411765,2,,0.019411765,2,,0.019411765,2,,0.019411765,2,,0.019411765,2
0.021176471,3,,0.021176471,3,,0.021176471,3,,0.021176471,3,,0.021176471,3,,0.021176471,3,,0.021176471,3,,0.021176471,3,,0.021176471,3,,0.021176471,3
0.022941176,3,,0.022941176,3,,0.022941176,3,,0.022941176,3,,0.022941176,3,,0.022941176,3,,0.022941176,3,,0.022941176,3,,0.022941176,3,,0.022941176,3
0.024705882,3,,0.024705882,3,,0.024705882,3,,0.024705882,3,,0.024705882,3,,0.024705882,3,,0.024705882,3,,0.024705882,3,,0.024705882,3,,0.024705882,3
0.026470588,3,,0.026470588,3,,0.026470588,3,,0.026470588,3,,0.026470588,3,,0.026470588,3,,0.026470588,3,,0.026470588,3,,0.026470588,3,,0.026470588,3
0.028235294,4,,0.028235294,4,,0.028235294,4,,0.028235294,4,,0.028235294,3,,0.028235294,4,,0.028235294,3,,0.028235294,4,,0.028235294,4,,0.028235294,3
0.03,4,,0.03,4,,0.03,4,,0.03,4,,0.03,4,,0.03,4,,0.03,4,,0.03,4,,0.03,4,,0.03,4
0.031764706,4,,0.031764706,4,,0.031764706,4,,0.031764706,4,,0.031764706,4,,0.031764706,4,,0.031764706,4,,0.031764706,4,,0.031764706,4,,0.031764706,4
0.033529412,4,,0.033529412,4,,0.033529412,4,,0.033529412,4,,0.033529412,4,,0.033529412,4,,0.033529412,4,,0.033529412,4,,0.033529412,4,,0.033529412,4
0.035294118,5,,0.035294118,4,,0.035294118,5,,0.035294118,5,,0.035294118,4,,0.035294118,4,,0.035294118,4,,0.035294118,5,,0.035294118,5,,0.035294118,4
0.037058823,5,,0.037058823,5,,0.037058823,5,,0.037058823,5,,0.037058823,5,,0.037058823,5,,0.037058823,5,,0.037058823,5,,0.037058823,5,,0.037058823,5
0.038823529,5,,0.038823529,5,,0.038823529,5,,0.038823529,5,,0.038823529,5,,0.038823529,5,,0.038823529,5,,0.038823529,5,,0.038823529,5,,0.038823529,5
0.040588235,5,,0.040588235,6,,0.040588235,5,,0.040588235,5,,0.040588235,6,,0.040588235,5,,0.040588235,5,,0.040588235,5,,0.040588235,5,,0.040588235,5
0.042352941,6,,0.042352941,6,,0.042352941,6,,0.042352941,6,,0.042352941,6,,0.042352941,6,,0.042352941,6,,0.042352941,6,,0.042352941,6,,0.042352941,6
0.044117647,6,,0.044117647,6,,0.044117647,6,,0.044117647,6,,0.044117647,6,,0.044117647,6,,0.044117647,6,,0.044117647,6,,0.044117647,6,,0.044117647,6
