VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
1.67294118,237,1.67294118,1,0.0052941099999999075,-0.24705991111112424
1.67470588,237,1.67823529,238,0.0070588300000000714,0.003922488888899123
1.67647059,237,1.68529412,239,0.008823529999999913,0.2549020444444321
1.67823529,238,1.69411765,240,0.0052941100000001295,-0.2470599111110927
1.68,238,1.69941176,241,0.007058829999999849,0.00392248888886737
1.68176471,238,1.70647059,242,0.007058820000000132,0.003921066666685347
1.68352941,238,1.71352941,243,0.0070588300000000714,0.003922488888899123
1.68529412,239,1.72058824,244,0.00705881999999991,0.003921066666653816
1.68705882,239,1.72764706,245,0.00705881999999991,0.003921066666653816
1.68882353,239,1.73470588,246,0.0070588300000000714,0.003922488888899123
1.69058824,239,1.74176471,247,0.00705881999999991,0.003921066666653816
1.69235294,239,1.74882353,248,0.007058820000000132,0.003921066666685347
1.69411765,240,1.75588235,249,0.0070588300000000714,0.003922488888899123
1.69588235,240,1.76294118,250,0.00705881999999991,0.003921066666653816
1.69764706,240,1.77,251,0.00705881999999991,0.003921066666653816
1.69941176,241,1.77705882,252,0.0070588300000000714,0.003922488888899123
1.70117647,241,1.78411765,253,0.00705881999999991,0.003921066666653816
1.70294118,241,1.79117647,254,0.007058820000000132,0.003921066666685347
1.70470588,241,1.79823529,255,0.0017647100000000027,-0.7490190222222218
1.70647059,242,,,,
1.70823529,242,,,,
1.71,242,,,,
1.71176471,242,,,,
1.71352941,243,,,,
1.71529412,243,,,,
1.71705882,243,,,,
1.71882353,243,,,,
1.72058824,244,,,,
1.72235294,244,,,,
1.72411765,244,,,,
1.72588235,244,,,,
1.72764706,245,,,,
1.72941176,245,,,,
1.73117647,245,,,,
1.73294118,245,,,,
1.73470588,246,,,,
1.73647059,246,,,,
1.73823529,246,,,,
1.74,246,,,,
1.74176471,247,,,,
1.74352941,247,,,,
1.74529412,247,,,,
1.74705882,247,,,,
1.74882353,248,,,,
1.75058824,248,,,,
1.75235294,248,,,,
1.75411765,248,,,,
1.75588235,249,,,,
1.75764706,249,,,,
1.75941176,249,,,,
1.76117647,249,,,,
1.76294118,250,,,,
1.76470588,250,,,,
1.76647059,250,,,,
1.76823529,250,,,,
1.77,251,,,,
1.77176471,251,,,,
1.77352941,251,,,,
1.77529412,251,,,,
1.77705882,252,,,,
1.77882353,252,,,,
1.78058824,252,,,,
1.78235294,252,,,,
1.78411765,253,,,,
1.78588235,253,,,,
1.78764706,253,,,,
1.78941176,253,,,,
1.79117647,254,,,,
1.79294118,254,,,,
1.79470588,254,,,,
1.79647059,254,,,,
1.79823529,255,,,,
1.8,255,,,,
