VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
0.908,130,0.908,1,-0.014000000000000012,-2.991111111111113
0.894,128,0.894,128,-0.015000000000000013,-3.133333333333335
0.879,126,0.879,126,-0.010000000000000009,-2.4222222222222234
0.869,124,0.869,124,-0.008000000000000007,-2.137777777777779
0.861,123,0.861,123,-0.007000000000000006,-1.9955555555555564
0.854,122,0.854,122,-0.0040000000000000036,-1.5688888888888894
0.852,122,0.85,121,,
0.851,122,,,,
0.853,122,,,,
0.854,122,,,,
0.852,122,,,,
0.856,122,,,,
0.856,122,,,,
0.856,122,,,,
0.856,122,,,,
0.853,122,,,,
0.854,122,,,,
0.854,122,,,,
0.854,122,,,,
0.85,121,,,,
