VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
0.897,128,0.897,1,0.0040000000000000036,-0.43111111111111067
0.898,128,0.901,129,0.006000000000000005,-0.14666666666666595
0.901,129,0.907,130,0.013000000000000012,0.8488888888888906
0.903,129,0.92,132,0.007000000000000006,-0.004444444444443585
0.907,130,0.927,133,0.009000000000000008,0.28000000000000114
0.911,130,0.936,134,0.008999999999999897,0.27999999999998537
0.92,132,0.945,135,0.006000000000000005,-0.14666666666666595
0.927,133,0.951,136,0.0040000000000000036,-0.43111111111111067
0.936,134,0.955,137,-0.0010000000000000009,-1.1422222222222222
0.941,134,0.954,136,-0.008000000000000007,-2.137777777777779
0.945,135,0.946,135,-0.008999999999999897,-2.279999999999985
0.951,136,0.937,134,,
0.955,137,,,,
0.956,137,,,,
0.957,137,,,,
0.958,137,,,,
0.956,137,,,,
0.954,136,,,,
0.946,135,,,,
0.937,134,,,,
