VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
1.2,172,1.2,1,0.007058820000000132,0.003921066666685347
1.20176471,172,1.20705882,173,0.007058829999999849,0.00392248888886737
1.20352941,172,1.21411765,174,0.007058820000000132,0.003921066666685347
1.20529412,172,1.22117647,175,0.00705881999999991,0.003921066666653816
1.20705882,173,1.22823529,176,0.0070588300000000714,0.003922488888899123
1.20882353,173,1.23529412,177,,
1.21058824,173,,,,
1.21235294,173,,,,
1.21411765,174,,,,
1.21588235,174,,,,
1.21764706,174,,,,
1.21941176,174,,,,
1.22117647,175,,,,
1.22294118,175,,,,
1.22470588,175,,,,
1.22647059,175,,,,
1.22823529,176,,,,
1.23,176,,,,
1.23176471,176,,,,
1.23352941,176,,,,
1.23529412,177,,,,
