VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
1.44705882,207,1.44705882,1,0.0035294200000000053,-0.49803804444444366
1.44882353,207,1.45058824,208,0.00705881999999991,0.003921066666653816
1.45058824,208,1.45764706,209,0.00705881999999991,0.003921066666653816
1.45235294,208,1.46470588,210,0.0070588300000000714,0.003922488888899123
1.45411765,208,1.47176471,211,0.007058820000000132,0.003921066666685347
1.45588235,208,1.47882353,212,,
1.45764706,209,,,,
1.45941176,209,,,,
1.46117647,209,,,,
1.46294118,209,,,,
1.46470588,210,,,,
1.46647059,210,,,,
1.46823529,210,,,,
1.47,210,,,,
1.47176471,211,,,,
1.47352941,211,,,,
1.47529412,211,,,,
1.47705882,211,,,,
1.47882353,212,,,,
1.48058824,212,,,,
1.48235294,212,,,,
