VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
0.247058823,35,0.247058823,1,0.003529411999999982,-0.4980391822222249
0.248823529,35,0.250588235,36,0.008823530000000024,0.25490204444444786
0.250588235,36,0.259411765,37,0.005294116999999987,-0.24705891555555737
0.252352941,36,0.264705882,38,0.007058824000000019,0.003921635555558245
0.254117647,36,0.271764706,39,0.007058822999999992,0.003921493333332249
0.255882353,36,0.278823529,40,,
0.257647059,36,,,,
0.259411765,37,,,,
0.261176471,37,,,,
0.262941176,37,,,,
0.264705882,38,,,,
0.266470588,38,,,,
0.268235294,38,,,,
0.27,38,,,,
0.271764706,39,,,,
0.273529412,39,,,,
0.275294118,39,,,,
0.277058823,39,,,,
0.278823529,40,,,,
0.280588235,40,,,,
0.282352941,40,,,,
