VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
1.51764706,217,1.51764706,1,0.0017646999999998414,-0.749020444444467
1.51941176,218,1.51941176,218,0.008823530000000135,0.2549020444444636
1.52117647,218,1.52823529,219,0.0070588300000000714,0.003922488888899123
1.52294118,218,1.53529412,220,0.005294119999999847,-0.2470584888889107
1.52470588,218,1.54058824,221,0.008823519999999974,0.25490062222221854
1.52647059,218,1.54941176,222,,
1.52823529,219,,,,
1.53,219,,,,
1.53176471,219,,,,
1.53352941,219,,,,
1.53529412,220,,,,
1.53705882,220,,,,
1.53882353,220,,,,
1.54058824,221,,,,
1.54235294,221,,,,
1.54411765,221,,,,
1.54588235,221,,,,
1.54764706,221,,,,
1.54941176,222,,,,
1.55117647,222,,,,
1.55294118,222,,,,
