VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
0.6,86,0.6,1,0.007058824000000019,0.003921635555558245
0.601764706,86,0.607058824,87,0.007058823000000047,0.00392149333334002
0.603529412,86,0.614117647,88,0.007058823999999908,0.00392163555554248
0.605294118,86,0.621176471,89,0.007058823000000047,0.00392149333334002
0.607058824,87,0.628235294,90,0.007058824000000019,0.003921635555558245
0.608823529,87,0.635294118,91,,
0.610588235,87,,,,
0.612352941,87,,,,
0.614117647,88,,,,
0.615882353,88,,,,
0.617647059,88,,,,
0.619411765,88,,,,
0.621176471,89,,,,
0.622941176,89,,,,
0.624705882,89,,,,
0.626470588,89,,,,
0.628235294,90,,,,
0.63,90,,,,
0.631764706,90,,,,
0.633529412,90,,,,
0.635294118,91,,,,
