VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
0.0,0,0.00882352937,1,0.007058823530000001,0.003921568711111156
0.00176470588,0,0.0158823529,2,0.0052941175999999986,-0.24705883022222241
0.00352941175,0,0.0211764705,3,0.007058823500000002,0.003921564444444803
0.00529411762,0,0.028235294,4,0.0070588234999999985,0.003921564444444137
0.0070588235,0,0.0352941175,5,,
0.00882352937,1,,,,
0.0105882352,1,,,,
0.0123529411,1,,,,
0.014117647,1,,,,
0.0158823529,2,,,,
0.0176470587,2,,,,
0.0194117646,2,,,,
0.0211764705,3,,,,
0.0229411764,3,,,,
0.0247058822,3,,,,
0.0264705881,3,,,,
0.028235294,4,,,,
0.03,4,,,,
0.0317647059,4,,,,
0.0335294117,4,,,,
0.0352941175,5,,,,
