Index,Vin,Code
0,0.889569193,128.0
1,0.879139957,126.0
2,0.868713862,128.0
3,0.858292479,123.0
4,0.847877377,122.0
5,0.837470124,120.0
6,0.827072288,118.0
7,0.816685435,117.0
8,0.806311129,116.0
9,0.795950931,114.0
10,0.785606404,112.0
11,0.775279103,112.0
12,0.764970585,110.0
13,0.754682402,108.0
14,0.744416103,107.0
15,0.734173235,105.0
16,0.723955339,104.0
17,0.713763955,102.0
18,0.703600618,101.0
19,0.693466857,100.0
20,0.6833642,98.0
21,0.673294167,96.0
22,0.663258276,96.0
23,0.653258037,94.0
24,0.643294956,92.0
25,0.633370534,91.0
26,0.623486265,89.0
27,0.613643639,88.0
28,0.603844136,86.0
29,0.594089234,85.0
30,0.584380401,84.0
31,0.574719098,82.0
