Index,Vin,Code
0,1.5083712,215.0
1,1.51561002,217.0
2,1.52275613,218.0
3,1.52980846,219.0
4,1.53676593,220.0
5,1.54362752,221.0
6,1.55039217,222.0
7,1.55705888,223.0
8,1.56362664,223.0
9,1.57009446,225.0
10,1.57646137,226.0
11,1.5827264,226.0
12,1.58888861,227.0
13,1.59494709,228.0
14,1.6009009,229.0
15,1.60674917,230.0
16,1.61249099,231.0
17,1.61812553,231.0
18,1.62365191,232.0
19,1.62906931,233.0
20,1.63437692,234.0
21,1.63957394,235.0
22,1.64465957,235.0
23,1.64963307,236.0
24,1.65449367,237.0
25,1.65924065,237.0
26,1.66387329,238.0
27,1.66839089,239.0
28,1.67279278,239.0
29,1.67707829,240.0
30,1.68124677,241.0
31,1.6852976,241.0
