Index,Vin,Code
0,0.306380188,43.0
1,0.313890536,44.0
2,0.321489151,45.0
3,0.329174887,47.0
4,0.336946587,47.0
5,0.344803081,49.0
6,0.352743186,50.0
7,0.360765705,51.0
8,0.368869431,52.0
9,0.377053144,53.0
10,0.38531561,55.0
11,0.393655586,55.0
12,0.402071816,57.0
13,0.410563031,58.0
14,0.419127954,59.0
15,0.427765295,61.0
16,0.436473752,62.0
17,0.445252015,63.0
18,0.454098761,65.0
19,0.463012658,66.0
20,0.471992364,67.0
21,0.481036526,68.0
22,0.490143783,70.0
23,0.499312762,71.0
24,0.508542084,72.0
25,0.517830357,74.0
26,0.527176184,75.0
27,0.536578157,76.0
28,0.54603486,78.0
29,0.555544868,79.0
30,0.565106751,80.0
31,0.574719067,82.0
