Index,Vin,Code
0,1.49361981,214.0
1,1.48610946,213.0
2,1.47851085,212.0
3,1.47082511,211.0
4,1.46305341,210.0
5,1.45519692,208.0
6,1.44725681,208.0
7,1.43923429,206.0
8,1.43113057,205.0
9,1.42294686,204.0
10,1.41468439,203.0
11,1.40634441,202.0
12,1.39792818,200.0
13,1.38943697,199.0
14,1.38087205,198.0
15,1.37223471,197.0
16,1.36352625,196.0
17,1.35474799,194.0
18,1.34590124,193.0
19,1.33698734,191.0
20,1.32800764,190.0
21,1.31896347,189.0
22,1.30985622,188.0
23,1.30068724,186.0
24,1.29145792,185.0
25,1.28216964,184.0
26,1.27282382,182.0
27,1.26342184,181.0
28,1.25396514,180.0
29,1.24445513,178.0
30,1.23489325,177.0
31,1.22528093,176.0
