Index,Vin,Code
0,0.910430807,130.0
1,0.920860043,131.0
2,0.931286138,133.0
3,0.941707521,134.0
4,0.952122623,136.0
5,0.962529876,137.0
6,0.972927712,139.0
7,0.983314565,140.0
8,0.993688871,142.0
9,1.00404907,143.0
10,1.0143936,145.0
11,1.0247209,146.0
12,1.03502941,148.0
13,1.0453176,149.0
14,1.0555839,151.0
15,1.06582677,152.0
16,1.07604466,154.0
17,1.08623604,155.0
18,1.09639938,157.0
19,1.10653314,158.0
20,1.1166358,159.0
21,1.12670583,161.0
22,1.13674172,162.0
23,1.14674196,164.0
24,1.15670504,165.0
25,1.16662947,167.0
26,1.17651373,168.0
27,1.18635636,169.0
28,1.19615586,171.0
29,1.20591077,172.0
30,1.2156196,174.0
31,1.2252809,175.0
