VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
0.0705882352,9,0.0705882352,1,0.003529411799999993,-0.4980392106666677
0.0723529411,9,0.074117647,10,0.005294117600000009,-0.24705883022222097
0.074117647,10,0.0794117646,11,0.007058823499999992,0.0039215644444432485
0.0758823529,10,0.0864705881,12,0.0070588236,0.0039215786666666475
0.0776470587,10,0.0935294117,13,0.007058823300000003,0.003921536000000447
0.0794117646,11,0.100588235,14,,
0.0811764705,11,,,,
0.0829411764,11,,,,
0.0847058822,11,,,,
0.0864705881,12,,,,
0.088235294,12,,,,
0.09,12,,,,
0.0917647059,12,,,,
0.0935294117,13,,,,
0.0952941176,13,,,,
0.0970588235,13,,,,
0.0988235294,13,,,,
0.100588235,14,,,,
0.102352941,14,,,,
0.104117647,14,,,,
0.105882353,14,,,,
