VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
1.48235294,210,1.48235294,1,0.005294120000000069,-0.24705848888887916
1.48411765,210,1.48764706,211,0.00705881999999991,0.003921066666653816
1.48588235,210,1.49470588,212,0.0070588300000000714,0.003922488888899123
1.48764706,211,1.50176471,213,0.00705881999999991,0.003921066666653816
1.48941176,211,1.50882353,214,0.007058820000000132,0.003921066666685347
1.49117647,211,1.51588235,215,,
1.49294118,211,,,,
1.49470588,212,,,,
1.49647059,212,,,,
1.49823529,212,,,,
1.5,212,,,,
1.50176471,213,,,,
1.50352941,213,,,,
1.50529412,213,,,,
1.50705882,213,,,,
1.50882353,214,,,,
1.51058824,214,,,,
1.51235294,214,,,,
1.51411765,214,,,,
1.51588235,215,,,,
1.51764706,215,,,,
