VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
1.65882353,235,1.65882353,1,0.00705881999999991,0.003921066666653816
1.66058824,235,1.66588235,236,0.005294120000000069,-0.24705848888887916
1.66235294,235,1.67117647,237,0.00705881999999991,0.003921066666653816
1.66411765,235,1.67823529,238,0.0070588300000000714,0.003922488888899123
1.66588235,236,1.68529412,239,0.008823529999999913,0.2549020444444321
1.66764706,236,1.69411765,240,,
1.66941176,236,,,,
1.67117647,237,,,,
1.67294118,237,,,,
1.67470588,237,,,,
1.67647059,237,,,,
1.67823529,238,,,,
1.68,238,,,,
1.68176471,238,,,,
1.68352941,238,,,,
1.68529412,239,,,,
1.68705882,239,,,,
1.68882353,239,,,,
1.69058824,239,,,,
1.69235294,239,,,,
1.69411765,240,,,,
