run,corner,VVin,time,Clk,FFCLR,sampling_rate
run_00,ss,0.0,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.554, …]",1.173e+05
run_01,ff,0.0,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.567, 0.562, 0.559, …]",1.174e+05
run_02,sf,0.0,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.565, 0.560, 0.556, …]",1.174e+05
run_03,fs,0.0,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.565, 0.561, 0.559, …]",1.173e+05
run_04,ss,0.1,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.554, …]",1.173e+05
run_05,ff,0.1,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.567, 0.562, 0.559, …]",1.174e+05
run_06,sf,0.1,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.565, 0.560, 0.556, …]",1.174e+05
run_07,fs,0.1,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.565, 0.561, 0.559, …]",1.173e+05
run_08,ss,0.2,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.554, …]",1.173e+05
run_09,ff,0.2,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.567, 0.562, 0.559, …]",1.174e+05
run_10,sf,0.2,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.565, 0.560, 0.556, …]",1.174e+05
run_11,fs,0.2,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.565, 0.561, 0.559, …]",1.173e+05
run_12,ss,0.30000000000000004,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.554, …]",1.173e+05
run_13,ff,0.30000000000000004,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.567, 0.562, 0.559, …]",1.174e+05
run_14,sf,0.30000000000000004,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.565, 0.560, 0.556, …]",1.174e+05
run_15,fs,0.30000000000000004,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.565, 0.561, 0.559, …]",1.173e+05
run_16,ss,0.4,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.554, …]",1.173e+05
run_17,ff,0.4,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.567, 0.562, 0.559, …]",1.174e+05
run_18,sf,0.4,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.565, 0.561, 0.556, …]",1.174e+05
run_19,fs,0.4,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.565, 0.561, 0.559, …]",1.173e+05
run_20,ss,0.5,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.554, …]",1.173e+05
run_21,ff,0.5,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.567, 0.563, 0.559, …]",1.174e+05
run_22,sf,0.5,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.565, 0.561, 0.556, …]",1.174e+05
run_23,fs,0.5,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.565, 0.561, 0.559, …]",1.173e+05
run_24,ss,0.6,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.563, 0.558, 0.554, …]",1.173e+05
run_25,ff,0.6,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.567, 0.563, 0.559, …]",1.174e+05
