Index,Vin,Code
0,1.49361981,212.0
1,1.48610946,210.0
2,1.47851085,209.0
3,1.47082511,208.0
4,1.46305341,208.0
5,1.45519692,206.0
6,1.44725681,205.0
7,1.43923429,204.0
8,1.43113057,203.0
9,1.42294686,202.0
10,1.41468439,200.0
11,1.40634441,200.0
12,1.39792818,198.0
13,1.38943697,197.0
14,1.38087205,196.0
15,1.37223471,194.0
16,1.36352625,193.0
17,1.35474799,192.0
18,1.34590124,191.0
19,1.33698734,189.0
20,1.32800764,188.0
21,1.31896347,187.0
22,1.30985622,186.0
23,1.30068724,184.0
24,1.29145792,183.0
25,1.28216964,182.0
26,1.27282382,180.0
27,1.26342184,179.0
28,1.25396514,178.0
29,1.24445513,176.0
30,1.23489325,175.0
31,1.22528093,174.0
