Index,Vin,Code
0,1.21561962,172.0
1,1.20591078,171.0
2,1.19615588,170.0
3,1.18635638,168.0
4,1.17651375,167.0
5,1.16662948,165.0
6,1.15670506,164.0
7,1.14674198,162.0
8,1.13674174,161.0
9,1.12670585,160.0
10,1.11663582,158.0
11,1.10653316,157.0
12,1.0963994,155.0
13,1.08623606,154.0
14,1.07604468,152.0
15,1.06582678,151.0
16,1.05558391,150.0
17,1.04531761,148.0
18,1.03502943,146.0
19,1.02472091,145.0
20,1.01439361,144.0
21,1.00404909,142.0
22,0.993688888,141.0
23,0.983314582,139.0
24,0.972927729,138.0
25,0.962529893,136.0
26,0.95212264,135.0
27,0.941707538,133.0
28,0.931286155,132.0
29,0.92086006,130.0
30,0.910430824,129.0
31,0.900000017,128.0
