Index,Vin,Code
0,1.749936,248.0
1,1.749744,248.0
2,1.74942403,248.0
3,1.74897614,248.0
4,1.7484004,248.0
5,1.74769689,248.0
6,1.74686572,248.0
7,1.74590702,248.0
8,1.74482093,248.0
9,1.74360761,247.0
10,1.74226724,247.0
11,1.74080003,247.0
12,1.73920621,247.0
13,1.737486,247.0
14,1.73563967,246.0
15,1.73366749,246.0
16,1.73156977,246.0
17,1.72934681,245.0
18,1.72699896,245.0
19,1.72452657,245.0
20,1.72193,244.0
21,1.71920966,244.0
22,1.71636594,244.0
23,1.71339929,243.0
24,1.71031014,242.0
25,1.70709896,242.0
26,1.70376623,242.0
27,1.70031246,241.0
28,1.69673817,241.0
29,1.69304388,240.0
30,1.68923017,240.0
31,1.68529761,239.0
