Index,Vin,Code
0,1.68124677,238.0
1,1.67707829,237.0
2,1.67279279,237.0
3,1.6683909,236.0
4,1.6638733,236.0
5,1.65924066,235.0
6,1.65449368,234.0
7,1.64963308,234.0
8,1.64465958,233.0
9,1.63957395,232.0
10,1.63437693,232.0
11,1.62906932,231.0
12,1.62365192,230.0
13,1.61812553,229.0
14,1.612491,228.0
15,1.60674918,228.0
16,1.60090091,227.0
17,1.5949471,226.0
18,1.58888862,225.0
19,1.58272641,224.0
20,1.57646138,224.0
21,1.57009447,222.0
22,1.56362665,221.0
23,1.55705889,220.0
24,1.55039218,220.0
25,1.54362753,219.0
26,1.53676594,218.0
27,1.52980847,217.0
28,1.52275614,216.0
29,1.51561003,215.0
30,1.50837121,214.0
31,1.50104078,213.0
