run,VVin,idd,power,avg_power
run_00,0.0,"[0.308, 0.104, 1.008e-02, …]","[0.554, 0.187, 1.814e-02, …]",9.789e-04
run_01,0.1,"[0.308, 0.104, 1.009e-02, …]","[0.554, 0.187, 1.816e-02, …]",9.981e-04
run_02,0.2,"[0.308, 0.104, 1.009e-02, …]","[0.554, 0.187, 1.817e-02, …]",1.002e-03
run_03,0.30000000000000004,"[0.308, 0.104, 1.009e-02, …]","[0.554, 0.187, 1.817e-02, …]",9.856e-04
run_04,0.4,"[0.308, 0.104, 1.009e-02, …]","[0.554, 0.187, 1.816e-02, …]",9.935e-04
run_05,0.5,"[0.307, 0.104, 1.008e-02, …]","[0.553, 0.187, 1.815e-02, …]",1.010e-03
run_06,0.6,"[0.307, 0.104, 1.007e-02, …]","[0.553, 0.186, 1.813e-02, …]",9.986e-04
run_07,0.7,"[0.307, 0.104, 1.006e-02, …]","[0.553, 0.186, 1.811e-02, …]",1.003e-03
run_08,0.7999999999999999,"[0.307, 0.103, 1.005e-02, …]","[0.553, 0.186, 1.810e-02, …]",1.000e-03
run_09,0.8999999999999999,"[0.307, 0.103, 1.004e-02, …]","[0.552, 0.186, 1.808e-02, …]",1.059e-03
run_10,0.9,"[0.307, 0.103, 1.004e-02, …]","[0.552, 0.186, 1.808e-02, …]",1.059e-03
