run,VVin,idd,power,avg_power
run_00,0.9,"[0.307, 0.103, 1.004e-02, …]","[0.552, 0.186, 1.808e-02, …]",1.059e-03
run_01,1.0,"[0.307, 0.103, 1.004e-02, …]","[0.552, 0.186, 1.806e-02, …]",1.008e-03
run_02,1.1,"[0.307, 0.103, 1.003e-02, …]","[0.552, 0.186, 1.806e-02, …]",9.881e-04
run_03,1.2000000000000002,"[0.306, 0.103, 1.003e-02, …]","[0.551, 0.186, 1.805e-02, …]",9.994e-04
run_04,1.3000000000000003,"[0.306, 0.103, 1.003e-02, …]","[0.551, 0.186, 1.806e-02, …]",1.003e-03
run_05,1.4000000000000004,"[0.306, 0.103, 1.004e-02, …]","[0.551, 0.185, 1.807e-02, …]",9.964e-04
run_06,1.5000000000000004,"[0.306, 0.103, 1.004e-02, …]","[0.551, 0.185, 1.808e-02, …]",1.003e-03
run_07,1.6000000000000005,"[0.306, 0.103, 1.005e-02, …]","[0.550, 0.185, 1.809e-02, …]",9.927e-04
run_08,1.7000000000000006,"[0.306, 0.103, 1.006e-02, …]","[0.550, 0.185, 1.811e-02, …]",1.006e-03
run_09,1.8,"[0.306, 0.103, 1.007e-02, …]","[0.550, 0.185, 1.813e-02, …]",1.032e-03
