run,VVin,idd,power,avg_power
run_00,0.0,"[0.315, 0.108, 1.076e-02, …]","[0.567, 0.195, 1.936e-02, …]",9.425e-04
run_01,0.1,"[0.315, 0.108, 1.076e-02, …]","[0.567, 0.195, 1.938e-02, …]",9.567e-04
run_02,0.2,"[0.315, 0.108, 1.077e-02, …]","[0.567, 0.195, 1.938e-02, …]",9.602e-04
run_03,0.30000000000000004,"[0.315, 0.108, 1.076e-02, …]","[0.567, 0.194, 1.937e-02, …]",9.495e-04
run_04,0.4,"[0.315, 0.108, 1.076e-02, …]","[0.567, 0.194, 1.936e-02, …]",9.620e-04
run_05,0.5,"[0.315, 0.108, 1.075e-02, …]","[0.566, 0.194, 1.935e-02, …]",9.750e-04
run_06,0.6,"[0.314, 0.108, 1.074e-02, …]","[0.566, 0.194, 1.933e-02, …]",9.656e-04
run_07,0.7,"[0.314, 0.108, 1.073e-02, …]","[0.566, 0.194, 1.931e-02, …]",9.679e-04
run_08,0.7999999999999999,"[0.314, 0.108, 1.072e-02, …]","[0.566, 0.194, 1.930e-02, …]",9.739e-04
run_09,0.8999999999999999,"[0.314, 0.108, 1.072e-02, …]","[0.565, 0.194, 1.929e-02, …]",1.021e-03
run_10,0.9,"[0.314, 0.108, 1.072e-02, …]","[0.565, 0.194, 1.929e-02, …]",1.021e-03
