run,VVin,idd,power,avg_power
run_00,0.9,"[0.314, 0.108, 1.072e-02, …]","[0.565, 0.194, 1.929e-02, …]",1.021e-03
run_01,1.0,"[0.314, 0.108, 1.071e-02, …]","[0.565, 0.194, 1.928e-02, …]",9.696e-04
run_02,1.1,"[0.314, 0.107, 1.071e-02, …]","[0.565, 0.193, 1.929e-02, …]",9.588e-04
run_03,1.2000000000000002,"[0.314, 0.107, 1.072e-02, …]","[0.565, 0.193, 1.930e-02, …]",9.668e-04
run_04,1.3000000000000003,"[0.313, 0.107, 1.073e-02, …]","[0.564, 0.193, 1.931e-02, …]",9.750e-04
run_05,1.4000000000000004,"[0.313, 0.107, 1.074e-02, …]","[0.564, 0.193, 1.933e-02, …]",9.646e-04
run_06,1.5000000000000004,"[0.313, 0.107, 1.075e-02, …]","[0.564, 0.193, 1.935e-02, …]",9.712e-04
run_07,1.6000000000000005,"[0.313, 0.107, 1.076e-02, …]","[0.564, 0.193, 1.938e-02, …]",9.672e-04
run_08,1.7000000000000006,"[0.313, 0.107, 1.078e-02, …]","[0.563, 0.193, 1.940e-02, …]",9.758e-04
run_09,1.8,"[0.313, 0.107, 1.080e-02, …]","[0.563, 0.193, 1.944e-02, …]",9.970e-04
