run,VVin,idd,power,avg_power
run_00,0.0,"[0.312, 0.105, 1.029e-02, …]","[0.562, 0.190, 1.852e-02, …]",9.634e-04
run_01,0.1,"[0.312, 0.105, 1.030e-02, …]","[0.562, 0.190, 1.854e-02, …]",9.720e-04
run_02,0.2,"[0.312, 0.105, 1.031e-02, …]","[0.562, 0.190, 1.855e-02, …]",9.739e-04
run_03,0.30000000000000004,"[0.312, 0.105, 1.031e-02, …]","[0.562, 0.190, 1.855e-02, …]",9.686e-04
run_04,0.4,"[0.312, 0.105, 1.030e-02, …]","[0.562, 0.190, 1.854e-02, …]",9.730e-04
run_05,0.5,"[0.312, 0.105, 1.029e-02, …]","[0.561, 0.189, 1.852e-02, …]",9.851e-04
run_06,0.6,"[0.312, 0.105, 1.028e-02, …]","[0.561, 0.189, 1.850e-02, …]",9.864e-04
run_07,0.7,"[0.312, 0.105, 1.026e-02, …]","[0.561, 0.189, 1.847e-02, …]",9.863e-04
run_08,0.7999999999999999,"[0.311, 0.105, 1.025e-02, …]","[0.561, 0.189, 1.845e-02, …]",9.785e-04
run_09,0.8999999999999999,"[0.311, 0.105, 1.023e-02, …]","[0.560, 0.189, 1.842e-02, …]",1.034e-03
run_10,0.9,"[0.311, 0.105, 1.023e-02, …]","[0.560, 0.189, 1.842e-02, …]",1.034e-03
