VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
0.0352941175,4,0.0352941175,1,0.0035294116999999986,-0.4980392248888891
0.0370588234,4,0.0388235292,5,0.0070588234999999985,0.003921564444444137
0.0388235292,5,0.0458823527,6,0.0070588235000000055,0.003921564444445247
0.0405882351,5,0.0529411762,7,0.005294117699999996,-0.24705881600000057
0.042352941,5,0.0582352939,8,0.008823529600000005,0.25490198755555626
0.0441176469,5,0.0670588235,9,,
0.0458823527,6,,,,
0.0476470586,6,,,,
0.0494117645,6,,,,
0.0511764704,6,,,,
0.0529411762,7,,,,
0.0547058821,7,,,,
0.056470588,7,,,,
0.0582352939,8,,,,
0.06,8,,,,
0.0617647059,8,,,,
0.0635294118,8,,,,
0.0652941176,8,,,,
0.0670588235,9,,,,
0.0688235294,9,,,,
0.0705882352,9,,,,
