run,VVin,idd,power,avg_power
run_00,0.0,"[5.742e-05, 3.819e-03, 4.154e-03, …]","[1.034e-04, 6.874e-03, 7.477e-03, …]",4.653e-04
run_01,0.1,"[5.736e-05, 3.819e-03, 4.154e-03, …]","[1.032e-04, 6.874e-03, 7.477e-03, …]",4.833e-04
run_02,0.2,"[5.730e-05, 3.819e-03, 4.154e-03, …]","[1.031e-04, 6.873e-03, 7.477e-03, …]",4.880e-04
run_03,0.30000000000000004,"[5.724e-05, 3.819e-03, 4.154e-03, …]","[1.030e-04, 6.873e-03, 7.477e-03, …]",4.836e-04
run_04,0.4,"[5.718e-05, 3.818e-03, 4.154e-03, …]","[1.029e-04, 6.873e-03, 7.477e-03, …]",4.870e-04
run_05,0.5,"[5.713e-05, 3.818e-03, 4.154e-03, …]","[1.028e-04, 6.873e-03, 7.477e-03, …]",4.973e-04
run_06,0.6,"[5.706e-05, 3.818e-03, 4.154e-03, …]","[1.027e-04, 6.873e-03, 7.477e-03, …]",4.934e-04
run_07,0.7,"[5.698e-05, 3.818e-03, 4.154e-03, …]","[1.026e-04, 6.873e-03, 7.477e-03, …]",4.940e-04
run_08,0.7999999999999999,"[5.683e-05, 3.818e-03, 4.154e-03, …]","[1.023e-04, 6.872e-03, 7.477e-03, …]",4.926e-04
run_09,0.8999999999999999,"[5.664e-05, 3.818e-03, 4.154e-03, …]","[1.020e-04, 6.872e-03, 7.477e-03, …]",4.865e-04
run_10,0.9999999999999999,"[5.658e-05, 3.818e-03, 4.154e-03, …]","[1.018e-04, 6.872e-03, 7.477e-03, …]",4.926e-04
run_11,1.0999999999999999,"[5.674e-05, 3.818e-03, 4.154e-03, …]","[1.021e-04, 6.872e-03, 7.476e-03, …]",4.860e-04
run_12,1.2,"[5.696e-05, 3.818e-03, 4.154e-03, …]","[1.025e-04, 6.872e-03, 7.476e-03, …]",4.887e-04
run_13,1.3,"[5.688e-05, 3.818e-03, 4.154e-03, …]","[1.024e-04, 6.872e-03, 7.477e-03, …]",4.929e-04
run_14,1.4000000000000001,"[5.671e-05, 3.818e-03, 4.154e-03, …]","[1.021e-04, 6.872e-03, 7.476e-03, …]",4.900e-04
run_15,1.5000000000000002,"[5.673e-05, 3.817e-03, 4.154e-03, …]","[1.021e-04, 6.871e-03, 7.476e-03, …]",4.923e-04
run_16,1.6000000000000003,"[5.707e-05, 3.817e-03, 4.154e-03, …]","[1.027e-04, 6.871e-03, 7.477e-03, …]",4.876e-04
run_17,1.7000000000000004,"[5.749e-05, 3.816e-03, 4.153e-03, …]","[1.035e-04, 6.868e-03, 7.476e-03, …]",4.930e-04
run_18,1.8,"[9.171e-05, 3.838e-03, 4.173e-03, …]","[1.651e-04, 6.909e-03, 7.512e-03, …]",5.095e-04
