run,VVin,idd,power,avg_power
run_00,0.0,"[6.235e-05, 4.137e-03, 4.482e-03, …]","[1.122e-04, 7.447e-03, 8.067e-03, …]",4.290e-04
run_01,0.1,"[6.237e-05, 4.137e-03, 4.482e-03, …]","[1.123e-04, 7.447e-03, 8.067e-03, …]",4.459e-04
run_02,0.2,"[6.239e-05, 4.137e-03, 4.482e-03, …]","[1.123e-04, 7.447e-03, 8.067e-03, …]",4.466e-04
run_03,0.30000000000000004,"[6.234e-05, 4.137e-03, 4.482e-03, …]","[1.122e-04, 7.447e-03, 8.067e-03, …]",4.453e-04
run_04,0.4,"[6.238e-05, 4.138e-03, 4.482e-03, …]","[1.123e-04, 7.448e-03, 8.067e-03, …]",4.534e-04
run_05,0.5,"[6.244e-05, 4.138e-03, 4.482e-03, …]","[1.124e-04, 7.448e-03, 8.067e-03, …]",4.579e-04
run_06,0.6,"[7.657e-05, 4.144e-03, 4.483e-03, …]","[1.378e-04, 7.459e-03, 8.069e-03, …]",4.546e-04
run_07,0.7,"[7.661e-05, 4.144e-03, 4.483e-03, …]","[1.379e-04, 7.460e-03, 8.069e-03, …]",4.568e-04
run_08,0.7999999999999999,"[7.672e-05, 4.145e-03, 4.483e-03, …]","[1.381e-04, 7.460e-03, 8.069e-03, …]",4.554e-04
run_09,0.8999999999999999,"[7.658e-05, 4.144e-03, 4.482e-03, …]","[1.378e-04, 7.460e-03, 8.068e-03, …]",4.454e-04
run_10,0.9999999999999999,"[7.638e-05, 4.144e-03, 4.482e-03, …]","[1.375e-04, 7.460e-03, 8.068e-03, …]",4.548e-04
run_11,1.0999999999999999,"[7.598e-05, 4.144e-03, 4.482e-03, …]","[1.368e-04, 7.460e-03, 8.068e-03, …]",4.629e-04
run_12,1.2,"[7.565e-05, 4.144e-03, 4.482e-03, …]","[1.362e-04, 7.459e-03, 8.068e-03, …]",4.524e-04
run_13,1.3,"[7.567e-05, 4.144e-03, 4.483e-03, …]","[1.362e-04, 7.460e-03, 8.069e-03, …]",4.548e-04
run_14,1.4000000000000001,"[7.573e-05, 4.144e-03, 4.483e-03, …]","[1.363e-04, 7.460e-03, 8.069e-03, …]",4.502e-04
run_15,1.5000000000000002,"[7.578e-05, 4.144e-03, 4.482e-03, …]","[1.364e-04, 7.459e-03, 8.068e-03, …]",4.560e-04
run_16,1.6000000000000003,"[7.612e-05, 4.143e-03, 4.482e-03, …]","[1.370e-04, 7.457e-03, 8.068e-03, …]",4.566e-04
run_17,1.7000000000000004,"[6.298e-05, 4.134e-03, 4.480e-03, …]","[1.134e-04, 7.441e-03, 8.065e-03, …]",4.637e-04
run_18,1.8,"[9.253e-05, 4.159e-03, 4.503e-03, …]","[1.666e-04, 7.486e-03, 8.106e-03, …]",4.813e-04
