run,VVin,idd,power,avg_power
run_00,0.0,"[5.396e-05, 3.843e-03, 4.171e-03, …]","[9.713e-05, 6.918e-03, 7.507e-03, …]",4.235e-04
run_01,0.1,"[5.396e-05, 3.843e-03, 4.171e-03, …]","[9.713e-05, 6.918e-03, 7.507e-03, …]",4.435e-04
run_02,0.2,"[5.395e-05, 3.843e-03, 4.171e-03, …]","[9.711e-05, 6.918e-03, 7.507e-03, …]",4.480e-04
run_03,0.30000000000000004,"[5.392e-05, 3.843e-03, 4.171e-03, …]","[9.706e-05, 6.918e-03, 7.507e-03, …]",4.470e-04
run_04,0.4,"[5.388e-05, 3.843e-03, 4.171e-03, …]","[9.699e-05, 6.918e-03, 7.507e-03, …]",4.502e-04
run_05,0.5,"[5.388e-05, 3.843e-03, 4.171e-03, …]","[9.699e-05, 6.918e-03, 7.507e-03, …]",4.609e-04
run_06,0.6,"[5.406e-05, 3.844e-03, 4.171e-03, …]","[9.731e-05, 6.918e-03, 7.507e-03, …]",4.565e-04
run_07,0.7,"[5.447e-05, 3.844e-03, 4.171e-03, …]","[9.804e-05, 6.919e-03, 7.508e-03, …]",4.590e-04
run_08,0.7999999999999999,"[5.493e-05, 3.844e-03, 4.171e-03, …]","[9.887e-05, 6.920e-03, 7.508e-03, …]",4.564e-04
run_09,0.8999999999999999,"[5.507e-05, 3.844e-03, 4.171e-03, …]","[9.913e-05, 6.920e-03, 7.508e-03, …]",4.484e-04
run_10,0.9,"[5.507e-05, 3.844e-03, 4.171e-03, …]","[9.913e-05, 6.920e-03, 7.508e-03, …]",4.484e-04
