VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
1.62352941,232,1.62352941,1,0.0017647100000000027,-0.7490190222222218
1.62529412,233,1.62529412,233,0.007058820000000132,0.003921066666685347
1.62705882,233,1.63235294,234,0.00705881999999991,0.003921066666653816
1.62882353,233,1.63941176,235,0.0070588300000000714,0.003922488888899123
1.63058824,233,1.64647059,236,0.00705881999999991,0.003921066666653816
1.63235294,234,1.65352941,237,,
1.63411765,234,,,,
1.63588235,234,,,,
1.63764706,234,,,,
1.63941176,235,,,,
1.64117647,235,,,,
1.64294118,235,,,,
1.64470588,235,,,,
1.64647059,236,,,,
1.64823529,236,,,,
1.65,236,,,,
1.65176471,236,,,,
1.65352941,237,,,,
1.65529412,237,,,,
1.65705882,237,,,,
1.65882353,237,,,,
