VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
0.917647059,131,0.917647059,1,0.0017647060000000048,-0.7490195911111104
0.919411765,132,0.919411765,132,0.008823529000000052,0.25490190222222964
0.921176471,132,0.928235294,133,0.007058823999999908,0.00392163555554248
0.922941176,132,0.935294118,134,0.007058823000000047,0.00392149333334002
0.924705882,132,0.942352941,135,0.005294118000000014,-0.24705877333333137
0.926470588,132,0.947647059,136,,
0.928235294,133,,,,
0.93,133,,,,
0.931764706,133,,,,
0.933529412,133,,,,
0.935294118,134,,,,
0.937058824,134,,,,
0.938823529,134,,,,
0.940588235,134,,,,
0.942352941,135,,,,
0.944117647,135,,,,
0.945882353,135,,,,
0.947647059,136,,,,
0.949411765,136,,,,
0.95117647,136,,,,
0.952941176,136,,,,
