run,VVin,time,Clk,FFCLR,sampling_rate
run_00,0.0,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_01,0.1,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_02,0.2,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_03,0.30000000000000004,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_04,0.4,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_05,0.5,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_06,0.6,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_07,0.7,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_08,0.7999999999999999,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_09,0.8999999999999999,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_10,0.9999999999999999,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_11,1.0999999999999999,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_12,1.2,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_13,1.3,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_14,1.4000000000000001,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_15,1.5000000000000002,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_16,1.6000000000000003,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_17,1.7000000000000004,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
run_18,1.8,"[1.000e-12, 1.028e-12, 1.083e-12, …]","[1.782, 1.782, 1.781, …]","[0.341, 0.346, 0.353, …]",1.173e+05
